,tree,expresion,y_predict,mse,isValida
0,"
   ________________-______________
  /                               \
cos______                    ______/______
         \                  /             \
        __-__           ___-__          ___-__
       /     \         /      \        /      \
      *       **     cos       -     cos       +
     / \     /  \       \     / \       \     / \
    X   X   1    X       X   X   X       1   1   X
",(cos(((X*X)-(1**X)))-((cos(X)-(X-X))/(cos(1)-(1+X)))),"[np.float64(0.8526757638843709), np.float64(0.8464668314791923), np.float64(0.8363354693904105), np.float64(0.8175758462906338), np.float64(0.7682066337041615), np.float64(0.0), np.float64(1.0), np.float64(0.9273577949818923), np.float64(0.9046310151150435), np.float64(0.8932798234771105), np.float64(0.8864487780018651), np.float64(0.8819543837963263), np.float64(0.8788749918678029), np.float64(0.87674300088912), np.float64(0.8752751393316417), np.float64(0.8742653915381778), np.float64(0.8735389152733503), np.float64(0.8729195129356145), np.float64(0.8722228547264329), np.float64(0.8712456357209464)]",,False
1,"
sin__________
             \
       _______*_
      /         \
    sin_        cos_
        \           \
        sin         sin
           \           \
            1           X
",sin((sin(sin(1))*cos(sin(X)))),"[0.0, 0.1437810945273634, 0.2940298507462689, 0.44378109452736303, 0.5865671641791046, 0.7154228855721396, 0.8248756218905472, 0.9109452736318412, 0.9696517412935324, 1.0, 1.0, 0.9696517412935324, 0.9109452736318412, 0.8248756218905472, 0.7154228855721396, 0.5865671641791046, 0.44378109452736303, 0.2940298507462689, 0.1437810945273634, 0.0]",,False
2,"
cos_
    \
    cos_
        \
        cos__
             \
              *
             / \
            1   1
",cos(cos(cos((1*1)))),"[0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543]",,False
3,"
sin_
    \
    cos______
             \
            __**_
           /     \
          /      sin
         / \        \
        X   1        1
",sin(cos(((X/1)**sin(1)))),"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,False
4,"
sin_
    \
    sin_
        \
        cos__
             \
              +
             / \
            1   X
",sin(sin(cos((1+X)))),"[1.0, 0.9982439195715164, 0.9928878742646413, 0.9835806479936782, 0.9697954166300816, 0.9508297480024585, 0.9258056018965668, 0.8938449380981649, 0.8538941083501624, 0.8051628764597418, 0.7471244182983581, 0.6796031258231627, 0.6033014312055492, 0.5194485907454561, 0.430239704978488, 0.3381332865045219, 0.24637808411625248, 0.15778382649925363, 0.07498463429625074, 0.0]",,False
5,"
   ________________-______________
  /                               \
cos______                    ______/______
         \                  /             \
        __-__           ___-__          ___-__
       /     \         /      \        /      \
      *       **     cos       -     cos       +
     / \     /  \       \     / \       \     / \
    X   X   1    X       X   X   X       1   1   X
",(cos(((X*X)-(1**X)))-((cos(X)-(X-X))/(cos(1)-(1+X)))),"[np.float64(0.8526757638843709), np.float64(0.8464668314791923), np.float64(0.8363354693904105), np.float64(0.8175758462906338), np.float64(0.7682066337041615), np.float64(0.0), np.float64(1.0), np.float64(0.9273577949818923), np.float64(0.9046310151150435), np.float64(0.8932798234771105), np.float64(0.8864487780018651), np.float64(0.8819543837963263), np.float64(0.8788749918678029), np.float64(0.87674300088912), np.float64(0.8752751393316417), np.float64(0.8742653915381778), np.float64(0.8735389152733503), np.float64(0.8729195129356145), np.float64(0.8722228547264329), np.float64(0.8712456357209464)]",,False
6,"
sin_
    \
    sin_
        \
        cos__
             \
              +
             / \
            1   X
",sin(sin(cos((1+X)))),"[1.0, 0.9982439195715164, 0.9928878742646413, 0.9835806479936782, 0.9697954166300816, 0.9508297480024585, 0.9258056018965668, 0.8938449380981649, 0.8538941083501624, 0.8051628764597418, 0.7471244182983581, 0.6796031258231627, 0.6033014312055492, 0.5194485907454561, 0.430239704978488, 0.3381332865045219, 0.24637808411625248, 0.15778382649925363, 0.07498463429625074, 0.0]",,False
7,"
sin_
    \
    sin_
        \
        cos__
             \
              +
             / \
            1   X
",sin(sin(cos((1+X)))),"[1.0, 0.9982439195715164, 0.9928878742646413, 0.9835806479936782, 0.9697954166300816, 0.9508297480024585, 0.9258056018965668, 0.8938449380981649, 0.8538941083501624, 0.8051628764597418, 0.7471244182983581, 0.6796031258231627, 0.6033014312055492, 0.5194485907454561, 0.430239704978488, 0.3381332865045219, 0.24637808411625248, 0.15778382649925363, 0.07498463429625074, 0.0]",,False
8,"
   _______________*_
  /                 \
cos______           sin_
         \              \
        __/__           cos_
       /     \              \
      *       /             cos
     / \     / \               \
    X   1   1   X               1
",(cos(((X*1)/(1/X)))*sin(cos(cos(1)))),"[0.0, 0.339470655926352, 0.5911967779056386, 0.7661104718066746, 0.8791714614499423, 0.9456271576524741, 0.9801495972382048, 0.9948216340621403, 0.9994246260069045, 1.0, 1.0, 0.9994246260069045, 0.9948216340621403, 0.9801495972382048, 0.9456271576524741, 0.8791714614499423, 0.7661104718066746, 0.5911967779056386, 0.339470655926352, 0.0]",,False
9,"
   _______________*______________
  /                              \
cos______                   ______/_
         \                 /        \
       ___-_           ___/__       cos__
      /     \         /      \           \
    cos     sin     cos       -           -
       \       \       \     / \         / \
        X       X       1   1   1       X   X
",(cos((cos(X)-sin(X)))*((cos(1)/(1-1))/cos((X-X)))),"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",,False
10,"
   ___________*_
  /             \
sin_            cos_
    \               \
    sin_            cos__
        \                \
        sin               **
           \             /  \
            X           X    X
",(sin(sin(sin(X)))*cos(cos((X**X)))),"[0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.535837057408044, 0.5995187349604675, 0.6581299415606738, 0.7129597799931248, 0.764695771742867, 0.8137676177380543, 0.8608628394637333, 0.9070127191474735, 0.9531625988312135, 1.0]",,False
11,"
sin_
    \
    cos______
             \
            __**_
           /     \
          /      sin
         / \        \
        X   1        1
",sin(cos(((X/1)**sin(1)))),"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,False
12,"
   ___________*__________
  /                      \
sin_               _______/_
    \             /         \
    cos_        sin__       sin_
        \            \          \
        sin           /         sin
           \         / \           \
            1       X   1           1
",(sin(cos(sin(1)))*(sin((X/1))/sin(sin(1)))),"[0.0, 0.03648222477064216, 0.07812499999999999, 0.12442660550458715, 0.17488532110091742, 0.228927752293578, 0.28598050458715596, 0.3453985091743119, 0.40653669724770647, 0.46875, 0.53125, 0.5934633027522935, 0.6546014908256881, 0.714019495412844, 0.7710722477064221, 0.8251146788990825, 0.8755733944954128, 0.921875, 0.9635177752293579, 1.0]",,False
13,"
   _______________*______________
  /                              \
cos______                   ______/_
         \                 /        \
       ___-_           ___/__       cos__
      /     \         /      \           \
    cos     sin     cos       -           -
       \       \       \     / \         / \
        X       X       1   1   1       X   X
",(cos((cos(X)-sin(X)))*((cos(1)/(1-1))/cos((X-X)))),"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",,False
14,"
sin______________
                 \
            ______/_
           /        \
        __+__       sin_
       /     \          \
      /       /         sin
     / \     / \           \
    1   X   X   1           1
",sin((((1/X)+(X/1))/sin(sin(1)))),"[0.2353748806112703, 0.24426934097421205, 0.27638490926456544, 0.3443170964660936, 0.47098853868194845, 0.6906041069723018, 1.0, 0.9420367717287488, 0.1068529130850048, 0.25668576886341926, 0.7433142311365808, 0.8931470869149952, 0.05796322827125117, 0.0, 0.30939589302769815, 0.5290114613180515, 0.6556829035339065, 0.7236150907354345, 0.755730659025788, 0.7646251193887297]",,False
15,"
cos_
    \
    cos______
             \
            __-_
           /    \
          -     sin
         / \       \
        1   X       1
",cos(cos(((1-X)-sin(1)))),"[1.0, 0.8930354796320632, 0.7734559789750329, 0.647568988173456, 0.5206307490144546, 0.39842312746386327, 0.28593955321944814, 0.18791064388961898, 0.10801576872536145, 0.0488830486202364, 0.012352168199737288, 0.0, 0.012089356110381207, 0.048094612352168165, 0.1072273324572929, 0.18685939553219463, 0.2848883048620238, 0.3968462549277268, 0.5190538764783181, 0.6459921156373194]",,False
16,"
cos_
    \
    cos_
        \
        cos__
             \
              *
             / \
            1   1
",cos(cos(cos((1*1)))),"[0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543, 0.6543]",,False
17,"
sin__________
             \
       _______*_
      /         \
    sin_        cos_
        \           \
        sin         sin
           \           \
            1           X
",sin((sin(sin(1))*cos(sin(X)))),"[0.0, 0.1437810945273634, 0.2940298507462689, 0.44378109452736303, 0.5865671641791046, 0.7154228855721396, 0.8248756218905472, 0.9109452736318412, 0.9696517412935324, 1.0, 1.0, 0.9696517412935324, 0.9109452736318412, 0.8248756218905472, 0.7154228855721396, 0.5865671641791046, 0.44378109452736303, 0.2940298507462689, 0.1437810945273634, 0.0]",,False
18,"
sin__________
             \
       _______*_
      /         \
    sin_        cos_
        \           \
        sin         sin
           \           \
            1           X
",sin((sin(sin(1))*cos(sin(X)))),"[0.0, 0.1437810945273634, 0.2940298507462689, 0.44378109452736303, 0.5865671641791046, 0.7154228855721396, 0.8248756218905472, 0.9109452736318412, 0.9696517412935324, 1.0, 1.0, 0.9696517412935324, 0.9109452736318412, 0.8248756218905472, 0.7154228855721396, 0.5865671641791046, 0.44378109452736303, 0.2940298507462689, 0.1437810945273634, 0.0]",,False
19,"
sin_
    \
    sin_
        \
        cos__
             \
              +
             / \
            1   X
",sin(sin(cos((1+X)))),"[1.0, 0.9982439195715164, 0.9928878742646413, 0.9835806479936782, 0.9697954166300816, 0.9508297480024585, 0.9258056018965668, 0.8938449380981649, 0.8538941083501624, 0.8051628764597418, 0.7471244182983581, 0.6796031258231627, 0.6033014312055492, 0.5194485907454561, 0.430239704978488, 0.3381332865045219, 0.24637808411625248, 0.15778382649925363, 0.07498463429625074, 0.0]",,False
20,"
sin__________
             \
       _______*_
      /         \
    sin_        cos_
        \           \
        sin         sin
           \           \
            1           X
",sin((sin(sin(1))*cos(sin(X)))),"[0.0, 0.1437810945273634, 0.2940298507462689, 0.44378109452736303, 0.5865671641791046, 0.7154228855721396, 0.8248756218905472, 0.9109452736318412, 0.9696517412935324, 1.0, 1.0, 0.9696517412935324, 0.9109452736318412, 0.8248756218905472, 0.7154228855721396, 0.5865671641791046, 0.44378109452736303, 0.2940298507462689, 0.1437810945273634, 0.0]",,False
21,"
   ___________-__________
  /                      \
sin_               _______/_
    \             /         \
    cos_        cos__       sin_
        \            \          \
        cos           /         sin
           \         / \           \
            1       1   X           X
",(sin(cos(cos(1)))-(cos((1/X))/sin(sin(X)))),"[0.5192697876640384, 0.5165521000917418, 0.512217627740623, 0.5049075268245335, 0.4920344098602598, 0.46894736142319604, 0.4313278642751725, 0.4182233981731396, 0.6696015210541011, 1.0, 0.0, 0.33039847894589885, 0.5817766018268603, 0.5686721357248274, 0.5310526385768038, 0.5079655901397402, 0.49509247317546634, 0.48778237225937693, 0.4834478999082581, 0.48073021233596147]",,False
22,"
cos______________
                 \
            ______/_
           /        \
        __+__       sin_
       /     \          \
      -       /         sin
     / \     / \           \
    1   1   X   1           1
",cos((((1-1)+(X/1))/sin(sin(1)))),"[0.0, 0.17508767372386025, 0.3406935965709832, 0.49370048058189375, 0.6309910377971165, 0.7498376412521105, 0.8479023249772697, 0.9232367839979218, 0.9742823743343291, 1.0, 1.0, 0.9742823743343291, 0.9232367839979218, 0.8479023249772697, 0.7498376412521105, 0.6309910377971165, 0.49370048058189375, 0.3406935965709832, 0.17508767372386025, 0.0]",,False
23,"
   _______________*______________
  /                              \
cos______                   ______/_
         \                 /        \
       ___-_           ___/__       cos__
      /     \         /      \           \
    cos     sin     cos       -           -
       \       \       \     / \         / \
        X       X       1   1   1       X   X
",(cos((cos(X)-sin(X)))*((cos(1)/(1-1))/cos((X-X)))),"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",,False
24,"
cos______________
                 \
            ______**______
           /              \
        __/__           ___*_
       /     \         /     \
      /       *      sin     sin
     / \     / \        \       \
    1   1   1   1        X       X
",cos((((1/1)/(1*1))**(sin(X)*sin(X)))),"[0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403]",,False
25,"
   ________________-______________
  /                               \
cos______                    ______/______
         \                  /             \
        __-__           ___-__          ___-__
       /     \         /      \        /      \
      *       **     cos       -     cos       +
     / \     /  \       \     / \       \     / \
    X   X   1    X       X   X   X       1   1   X
",(cos(((X*X)-(1**X)))-((cos(X)-(X-X))/(cos(1)-(1+X)))),"[np.float64(0.8526757638843709), np.float64(0.8464668314791923), np.float64(0.8363354693904105), np.float64(0.8175758462906338), np.float64(0.7682066337041615), np.float64(0.0), np.float64(1.0), np.float64(0.9273577949818923), np.float64(0.9046310151150435), np.float64(0.8932798234771105), np.float64(0.8864487780018651), np.float64(0.8819543837963263), np.float64(0.8788749918678029), np.float64(0.87674300088912), np.float64(0.8752751393316417), np.float64(0.8742653915381778), np.float64(0.8735389152733503), np.float64(0.8729195129356145), np.float64(0.8722228547264329), np.float64(0.8712456357209464)]",,False
26,"
cos_
    \
    cos______
             \
            __-_
           /    \
          -     sin
         / \       \
        1   X       1
",cos(cos(((1-X)-sin(1)))),"[1.0, 0.8930354796320632, 0.7734559789750329, 0.647568988173456, 0.5206307490144546, 0.39842312746386327, 0.28593955321944814, 0.18791064388961898, 0.10801576872536145, 0.0488830486202364, 0.012352168199737288, 0.0, 0.012089356110381207, 0.048094612352168165, 0.1072273324572929, 0.18685939553219463, 0.2848883048620238, 0.3968462549277268, 0.5190538764783181, 0.6459921156373194]",,False
27,"
cos___________
              \
       ________+______
      /               \
    cos__           ___+_
         \         /     \
          **     sin     sin
         /  \       \       \
        1    X       1       1
",cos((cos((1**X))+(sin(1)+sin(1)))),"[-0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071, -0.6071]",,False
28,"
cos______________
                 \
            ______/_______
           /              \
       ___-_            ___**__
      /     \          /       \
    cos     cos       **        *
       \       \     /  \      / \
        1       X   X    1    1   X
",cos(((cos(1)-cos(X))/((X**1)**(1*X)))),"[1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.21061547148503665, 0.018068887634104913, 0.0, 0.11575381140598572, 0.3139469226425747, 0.5381140598531905, 0.7408243929983058, 0.8904573687182384, 0.9751552795031059, 1.0]",,False
29,"
   ________________-______________
  /                               \
cos______                    ______/______
         \                  /             \
        __-__           ___-__          ___-__
       /     \         /      \        /      \
      *       **     cos       -     cos       +
     / \     /  \       \     / \       \     / \
    X   X   1    X       X   X   X       1   1   X
",(cos(((X*X)-(1**X)))-((cos(X)-(X-X))/(cos(1)-(1+X)))),"[np.float64(0.8526757638843709), np.float64(0.8464668314791923), np.float64(0.8363354693904105), np.float64(0.8175758462906338), np.float64(0.7682066337041615), np.float64(0.0), np.float64(1.0), np.float64(0.9273577949818923), np.float64(0.9046310151150435), np.float64(0.8932798234771105), np.float64(0.8864487780018651), np.float64(0.8819543837963263), np.float64(0.8788749918678029), np.float64(0.87674300088912), np.float64(0.8752751393316417), np.float64(0.8742653915381778), np.float64(0.8735389152733503), np.float64(0.8729195129356145), np.float64(0.8722228547264329), np.float64(0.8712456357209464)]",,False
30,"
sin_
    \
    sin_
        \
        cos__
             \
              +
             / \
            X   1
",sin(sin(cos((X+1)))),"[1.0, 0.9982439195715164, 0.9928878742646413, 0.9835806479936782, 0.9697954166300816, 0.9508297480024585, 0.9258056018965668, 0.8938449380981649, 0.8538941083501624, 0.8051628764597418, 0.7471244182983581, 0.6796031258231627, 0.6033014312055492, 0.5194485907454561, 0.430239704978488, 0.3381332865045219, 0.24637808411625248, 0.15778382649925363, 0.07498463429625074, 0.0]",,False
