,tree,expresion,y_predict,mse,isValida
0,"
sin_
    \
    cos_
        \
        sin__
             \
              +
             / \
            1   1
",sin(cos(sin((1+1)))),"[0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764]",,False
1,"
sin_
    \
    cos_
        \
        sin__
             \
              +
             / \
            1   1
",sin(cos(sin((1+1)))),"[0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764]",,False
2,"
sin_
    \
    sin______
             \
           ___-_
          /     \
        cos     cos
           \       \
            1       1
",sin(sin((cos(1)-cos(1)))),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,False
3,"
sin__________
             \
       _______**_
      /          \
    sin__        cos__
         \            \
          -            -
         / \          / \
        1   X        1   X
",sin((sin((1-X))**cos((1-X)))),"[1.0, 0.9860885694412241, 0.9787850683978669, 0.9760027822861117, 0.9755390679341526, 0.975191282170183, 0.9728727104103871, 0.9663807094829585, 0.9532807790401113, 0.9311384187340598, 0.8975191282170183, 0.8497565499652213, 0.7858798979828425, 0.7048458149779735, 0.6073498724785532, 0.49582657083236725, 0.37456526779503824, 0.24878274982610712, 0.12311616044516578, 0.0]",,False
4,"
sin_
    \
    cos_
        \
        sin__
             \
              +
             / \
            1   1
",sin(cos(sin((1+1)))),"[0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764]",,False
5,"
cos_______________
                  \
            _______/_
           /         \
       ___+__        sin__
      /      \            \
    sin       **           -
       \     /  \         / \
        1   1    1       X   1
",cos(((sin(1)+(1**1))/sin((X-1)))),"[-0.4389, -0.3632, -0.3104, -0.2788, -0.2674, -0.2758, -0.3041, -0.3536, -0.4256, -0.5218, -0.6422, -0.7818, -0.9206, -0.9997, -0.8658, -0.2055, 0.9381, -0.818, 0.245, None]",,False
6,"
                _______________**______________
               /                               \
        ______*______                     ______**_
       /             \                   /         \
    __+__           __+__             __/_         cos__
   /     \         /     \           /    \             \
  -       /       -       **        /     cos            *
 / \     / \     / \     /  \      / \       \          / \
1   1   1   X   1   1   1    X    1   1       X        1   X
",((((1-1)+(1/X))*((1-1)+(1**X)))**(((1/1)/cos(X))**cos((1*X)))),"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",,False
7,"
sin_
    \
    cos_
        \
        sin__
             \
              +
             / \
            1   1
",sin(cos(sin((1+1)))),"[0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764]",,False
8,"
sin_
    \
    cos_
        \
        sin__
             \
              +
             / \
            1   1
",sin(cos(sin((1+1)))),"[0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764]",,False
9,"
sin______________
                 \
            ______**______
           /              \
        __*_            ___**__
       /    \          /       \
      -     cos      cos        *
     / \       \        \      / \
    1   X       X        1    X   1
",sin((((1-X)*cos(X))**(cos(1)**(X*1)))),"[0.9167919799498746, 0.9767418546365915, 0.9959899749373433, 1.0, 0.9991979949874686, 0.9935839598997493, 0.9799498746867168, 0.9553884711779448, 0.918796992481203, 0.8710776942355889, 0.8141353383458647, 0.7504761904761905, 0.6823057644110275, 0.6114285714285714, 0.5388471177944861, 0.4645614035087719, 0.3876691729323308, 0.3049624060150376, 0.20741854636591478, 0.0]",,False
10,"
sin_
    \
    cos_
        \
        sin__
             \
              +
             / \
            1   1
",sin(cos(sin((1+1)))),"[0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764, 0.5764]",,False
