,tree,expresion,y_predict,mse,isValida
36,"
cos__________
             \
       _______*_
      /         \
    cos__       log__
         \           \
          -           *
         / \         / \
        1   X       X   1
",cos((cos((1-X))*log((X*1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.1477, 0.3351, 0.5498, 0.6925, 0.7984, 0.8782, 0.9356, 0.9734, 0.9939, 1.0]",1.4036,True
37,"
log__________
             \
       _______/_
      /         \
    cos_        cos__
        \            \
        cos           /
           \         / \
            X       1   X
",log((cos(cos(X))/cos((1/X)))),"[0.462, 0.6159, 0.9341, 1.8798, 0, 0, 0, 0, -0.5953, -0.6021, -0.6021, -0.5953, 0, 0, 0, 0, 1.8798, 0.9341, 0.6159, 0.462]",1.4201,True
38,"
sin_
    \
    cos______
             \
            __+_
           /    \
          -     sin
         / \       \
        X   1       X
",sin(cos(((X-1)+sin(X)))),"[-0.8165, -0.779, -0.7179, -0.6275, -0.5031, -0.3442, -0.1565, 0.0475, 0.2502, 0.434, 0.5857, 0.6994, 0.7761, 0.8211, 0.8401, 0.8372, 0.8136, 0.7694, 0.7039, 0.6181]",1.4293,True
39,"
cos_
    \
    cos_
        \
        cos_
            \
            log
               \
                X
",cos(cos(cos(log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8491, 0.5708, 0.563, 0.6548, 0.7366, 0.792, 0.826, 0.8454, 0.8549, 0.8576]",1.4672,True
40,"
sin_
    \
    tan______
             \
            __+__
           /     \
          /       **
         / \     /  \
        X   1   1    1
",sin(tan(((X/1)+(1**1)))),"[0.0, 0.1055, 0.2121, 0.3209, 0.433, 0.5488, 0.668, 0.7879, 0.9003, 0.9838, 0.9833, 0.7571, -0.0058, -0.987, -0.7448, 0.1582, -0.6015, 0.9775, -0.1626, -0.8172]",1.476,True
41,"
   ___________+______________
  /                          \
log_                    ______**______
    \                  /              \
    tan__          ___/__           ___-_
         \        /      \         /     \
          *     tan       +      sin     log
         / \       \     / \        \       \
        X   1       1   1   X        1       X
",(log(tan((X*1)))+((tan(1)/(1+X))**(sin(1)-log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, np.float64(1.4629), np.float64(0.3804), np.float64(0.2659), np.float64(0.317), np.float64(0.4235), np.float64(0.556), np.float64(0.7051), np.float64(0.8691), np.float64(1.0501), np.float64(1.2532)]",1.4884,True
42,"
                 _______________-_
                /                 \
         ______-______            sin______
        /             \                    \
    ___/_           ___**__              ___/_
   /     \         /       \            /     \
  **     cos     cos        *         sin     log
 /  \       \       \      / \           \       \
1    X       X       1    X   X           X       X
",((((1**X)/cos(X))-(cos(1)**(X*X)))-sin((sin(X)/log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, np.float64(0.021), np.float64(0.1129), np.float64(0.271), np.float64(0.505), np.float64(0.826), np.float64(1.2232), np.float64(1.5364), np.float64(0.8764), np.float64(1.6541), 0]",1.5112,True
43,"
sin______________
                 \
            ______-_
           /        \
       ___+__       sin_
      /      \          \
    log       +         log
       \     / \           \
        X   1   1           X
",sin(((log(X)+(1+1))-sin(log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.6806, 0.8986, 0.9978, 0.9634, 0.9353, 0.9201, 0.913, 0.9102, 0.9094, 0.9093]",1.575,True
44,"
cos______________
                 \
            ______+______
           /             \
        __-__          ___+__
       /     \        /      \
      *       -     log       -
     / \     / \       \     / \
    1   X   X   X       1   X   1
",cos((((1*X)-(X-X))+(log(1)+(X-1)))),"[-0.99, -0.9386, -0.8458, -0.7157, -0.5539, -0.3677, -0.1653, 0.0445, 0.2523, 0.4489, 0.6257, 0.7749, 0.8899, 0.9656, 0.9986, 0.9876, 0.9329, 0.837, 0.7042, 0.5403]",1.5782,True
45,"
sin______________
                 \
            ______**______
           /              \
        __/__            __-_
       /     \          /    \
      +       +        *     log
     / \     / \      / \       \
    X   1   X   1    1   1       X
",sin((((X+1)/(X+1))**((1*1)-log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8415, 0.8415, 0.8415, 0.8415, 0.8415, 0.8415, 0.8415, 0.8415, 0.8415, 0.8415]",1.6091,True
46,"
   _______________+______________
  /                              \
log______                   ______-_
         \                 /        \
        __*__           __-_        sin__
       /     \         /    \            \
      /       -       *     tan           -
     / \     / \     / \       \         / \
    X   1   1   X   X   1       1       X   1
",(log(((X/1)*(1-X)))+(((X*1)-tan(1))-sin((X-1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, np.float64(-3.6914), np.float64(-2.6711), np.float64(-2.2627), np.float64(-2.0566), np.float64(-1.9704), np.float64(-1.9813), np.float64(-2.0948), np.float64(-2.3535), np.float64(-2.9201), 0]",1.6737,True
47,"
   ________________/__________
  /                           \
sin______               _______**______
         \             /               \
        __**__       log_            ___**_
       /      \          \          /      \
      +        +         sin      tan      log
     / \      / \           \        \        \
    X   X    1   1           X        X        1
",(sin(((X+X)**(1+1)))/(log(sin(X))**(tan(X)**log(1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0038, -0.0538, -0.2031, -0.5059, -0.996, -1.6146, -2.0812, -1.7634, 0.2439, 4.3846]",1.8908,True
48,"
log__________
             \
       _______+______
      /              \
    cos_            __-__
        \          /     \
        sin       /       **
           \     / \     /  \
            X   1   1   X    1
",log((cos(sin(X))+((1/1)-(X**1)))),"[0.9807, 0.9577, 0.9352, 0.9127, 0.8891, 0.8635, 0.8348, 0.8018, 0.7634, 0.7184, 0.6658, 0.6042, 0.5325, 0.4494, 0.3535, 0.243, 0.1156, -0.0316, -0.2032, -0.4059]",1.9557,True
49,"
cos_
    \
    tan_
        \
        log__
             \
              +
             / \
            1   1
",cos(tan(log((1+1)))),"[0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744, 0.6744]",2.0975,True
50,"
sin_
    \
    sin______
             \
           ___+_
          /     \
        sin     log
           \       \
            1       1
",sin(sin((sin(1)+log(1)))),"[0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784]",2.109,True
51,"
sin______________
                 \
            ______**_
           /         \
       ___-__        cos__
      /      \            \
    tan       *            +
       \     / \          / \
        1   1   1        1   X
",sin(((tan(1)-(1*1))**cos((1+X)))),"[0.529, 0.5305, 0.5351, 0.5428, 0.5535, 0.5674, 0.5842, 0.6041, 0.6269, 0.6525, 0.6807, 0.711, 0.7432, 0.7765, 0.8104, 0.844, 0.8764, 0.9066, 0.9336, 0.9567]",2.179,True
52,"
   ________________**__________
  /                            \
cos______                _______/______
         \              /              \
       ___**__        log__           __-_
      /       \            \         /    \
    cos        *            /       /     sin
       \      / \          / \     / \       \
        X    1   X        X   1   1   X       1
",(cos((cos(X)**(1*X)))**(log((X/1))/((1/X)-sin(1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, np.float64(1.105), np.float64(1.2286), np.float64(1.3118), np.float64(1.3605), np.float64(1.3714), np.float64(1.3431), np.float64(1.2806), np.float64(1.1948), np.float64(1.0987), np.float64(1.0)]",2.3224,True
53,"
sin______________
                 \
            ______/______
           /             \
       ___-_            __**__
      /     \          /      \
    tan     tan       -        -
       \       \     / \      / \
        1       X   1   1    X   X
",sin(((tan(1)-tan(X))/((1-1)**(X-X)))),"[0.0268, 0.3312, 0.5447, 0.6951, 0.8019, 0.878, 0.9314, 0.9674, 0.9894, 0.9992, 0.9978, 0.9851, 0.9603, 0.9213, 0.8648, 0.7856, 0.6756, 0.522, 0.3058, 0.0]",2.3893,True
54,"
   ___________+_
  /             \
sin_            sin______
    \                    \
    cos__               __/_
         \             /    \
          /           /     sin
         / \         / \       \
        1   X       1   X       X
",(sin(cos((1/X)))+sin(((1/X)/sin(X)))),"[1.4422, 1.4144, 1.2723, 0.8463, -0.1705, -1.4885, 0.1605, 0.1801, 1.374, 0.9515, 0.9515, 1.374, 0.1801, 0.1605, -1.4885, -0.1705, 0.8463, 1.2723, 1.4144, 1.4422]",2.5922,True
55,"
tan_
    \
    log_
        \
        cos_
            \
            tan
               \
                1
",tan(log(cos(tan(1)))),"[-2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718, -2.3718]",2.6124,True
56,"
            _______________*__________
           /                          \
   _______*______               _______/_
  /              \             /         \
cos_           ___**_        sin_        tan__
    \         /      \           \            \
    log     log      log         cos           +
       \       \        \           \         / \
        X       1        1           X       X   X
",((cos(log(X))*(log(1)**log(1)))*(sin(cos(X))/tan((X+X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7.8032, -0.6938, 0.3307, 0.4795, 0.4099, 0.278, 0.1333, -0.0051, -0.1294, -0.2354]",2.9826,True
57,"
            _______________**_
           /                  \
   _______*______             sin______
  /              \                     \
log__           __+__                ___*__
     \         /     \              /      \
      +       /       **          cos       -
     / \     / \     /  \            \     / \
    X   1   X   1   1    X            X   X   X
",((log((X+1))*((X/1)+(1**X)))**sin((cos(X)*(X-X)))),"[0, np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]",3.0358,True
58,"
   _________________**_
  /                    \
cos_______             sin______
          \                     \
        ___**_                ___*_
       /      \              /     \
      **      cos          cos     log
     /  \        \            \       \
    X    1        X            X       1
",(cos(((X**1)**cos(X)))**sin((cos(X)*log(1)))),"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.1403,True
59,"
                __________*__________
               /                     \
        ______-_               _______/_
       /        \             /         \
   ___+__       tan_        cos_        sin__
  /      \          \           \            \
log       /         tan         tan           *
   \     / \           \           \         / \
    X   X   X           X           1       X   X
",(((log(X)+(X/X))-tan(tan(X)))*(cos(tan(1))/sin((X*X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, np.float64(-9.6526), np.float64(-0.5405), np.float64(-0.1182), np.float64(-0.0401), np.float64(-0.0187), np.float64(-0.0127), np.float64(-0.0131), np.float64(-0.0189), np.float64(-0.0389), np.float64(-1.1724)]",4.2545,True
60,"
   _______________+_
  /                 \
cos______           sin_
         \              \
        __-__           cos__
       /     \               \
      *       +               +
     / \     / \             / \
    1   1   X   1           1   X
",(cos(((1*1)-(X+1)))+sin(cos((1+X)))),"[1.3818, 1.4642, 1.5336, 1.5887, 1.6282, 1.6508, 1.6552, 1.6403, 1.6053, 1.5498, 1.4739, 1.3781, 1.2638, 1.1325, 0.9867, 0.8289, 0.662, 0.489, 0.3128, 0.1361]",4.2608,True
61,"
tan__________
             \
       _______/_
      /         \
    log_        tan_
        \           \
        sin         tan
           \           \
            X           X
",tan((log(sin(X))/tan(tan(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8405, 1.726, 6.0281, 0.7275, -5.6182, -1.0037, -0.4608, -0.2194, -0.0837, -0.0023]",4.5889,True
