,tree,expresion,y_predict,mse,isValida
0,"
sin__________
             \
       _______*______
      /              \
    sin__           __**__
         \         /      \
          *       +        /
         / \     / \      / \
        1   1   X   X    X   X
",sin((sin((1*1))*((X+X)**(X/X)))),"[-0.9937, -0.9979, -0.9708, -0.9134, -0.8273, -0.7154, -0.5811, -0.4285, -0.2626, -0.0885, 0.0885, 0.2626, 0.4285, 0.5811, 0.7154, 0.8273, 0.9134, 0.9708, 0.9979, 0.9937]",0.4009,True
1,"
sin_______________
                  \
             ______+______
            /             \
        ___*__           __+__
       /      \         /     \
      **       +       -       -
     /  \     / \     / \     / \
    1    X   X   X   X   X   1   1
",sin((((1**X)*(X+X))+((X-X)+(1-1)))),"[-0.9093, -0.9762, -1.0, -0.9796, -0.916, -0.8119, -0.672, -0.5024, -0.3106, -0.1051, 0.1051, 0.3106, 0.5024, 0.672, 0.8119, 0.916, 0.9796, 1.0, 0.9762, 0.9093]",0.432,True
2,"
sin__________
             \
       _______+_
      /         \
    tan_        tan__
        \            \
        sin           -
           \         / \
            X       X   X
",sin((tan(sin(X))+tan((X-X)))),"[-0.8996, -0.8357, -0.7575, -0.6686, -0.5722, -0.4712, -0.3677, -0.263, -0.1579, -0.0526, 0.0526, 0.1579, 0.263, 0.3677, 0.4712, 0.5722, 0.6686, 0.7575, 0.8357, 0.8996]",0.469,True
3,"
                __________**______________
               /                          \
        ______*_                     ______**_
       /        \                   /         \
   ___/__       sin__           ___/_         sin_
  /      \           \         /     \            \
tan       *           +      sin     tan          sin
   \     / \         / \        \       \            \
    X   1   1       1   1        X       X            1
",(((tan(X)/(1*1))*sin((1+1)))**((sin(X)/tan(X))**sin(sin(1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0481, 0.1474, 0.254, 0.3701, 0.4967, 0.6341, 0.7811, 0.9353, 1.0924, 1.2459]",0.4721,True
4,"
   _______________+___________
  /                           \
sin______              ________-_
         \            /          \
       ___*_        tan__        log__
      /     \            \            \
    tan     log           **           /
       \       \         /  \         / \
        1       X       1    X       1   X
",(sin((tan(1)*log(X)))+(tan((1**X))-log((1/X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.395, -0.5521, -0.6511, -0.441, -0.1081, 0.2588, 0.6207, 0.9611, 1.2738, 1.5574]",0.6066,True
5,"
   _______________**_
  /                  \
log______            sin_
         \               \
       ___*_             tan_
      /     \                \
    tan     sin              log
       \       \                \
        1       X                X
",(log((tan(1)*sin(X)))**sin(tan(log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73, 1.2001, 1.0]",0.6426,True
6,"
sin_
    \
    log______
             \
            __/_
           /    \
          +     sin
         / \       \
        1   X       X
",sin(log(((1+X)/sin(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1449, 0.9107, 1.0, 0.9723, 0.9218, 0.8723, 0.8305, 0.7983, 0.7755, 0.7616]",0.6682,True
7,"
sin_
    \
    cos_
        \
        tan_
            \
            log
               \
                X
",sin(cos(tan(log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8306, -0.7957, -0.4994, 0.0184, 0.5652, 0.7315, 0.7965, 0.8255, 0.8381, 0.8415]",0.7187,True
8,"
cos__________
             \
       _______**_
      /          \
    sin__        sin_
         \           \
          +          log
         / \            \
        X   1            X
",cos((sin((X+1))**sin(log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5166, 0.4641, 0.4994, 0.5255, 0.5376, 0.5403, 0.5383, 0.5355, 0.5353, 0.5403]",0.7934,True
9,"
cos__________
             \
       _______+_
      /         \
    log_        sin__
        \            \
        tan           *
           \         / \
            X       X   1
",cos((log(tan(X))+sin((X*1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.9687, -0.1092, 0.4964, 0.83, 0.9776, 0.9926, 0.9097, 0.753, 0.5399, 0.2824]",0.8326,True
