,tree,expresion,y_predict,mse,isValida
0,"
tan_
    \
    sin_______
              \
            ___*_
           /     \
          **     tan
         /  \       \
        1    1       X
",tan(sin(((1**1)*tan(X)))),"[-1.5571, -1.3922, -1.1289, -0.8916, -0.6961, -0.534, -0.3954, -0.2726, -0.1599, -0.0527, 0.0527, 0.1599, 0.2726, 0.3954, 0.534, 0.6961, 0.8916, 1.1289, 1.3922, 1.5571]",(1.0895+0j),True
1,"
   ___________-_
  /             \
sin_            cos______
    \                    \
    log__               __+_
         \             /    \
          +           +     cos
         / \         / \       \
        X   1       X   1       X
",(sin(log((X+1)))-cos(((X+1)+cos(X)))),"[0, -1.5218, -1.6099, -1.3757, -1.0687, -0.7527, -0.4498, -0.1694, 0.085, 0.3124, 0.5134, 0.6896, 0.843, 0.9758, 1.0904, 1.1891, 1.274, 1.347, 1.4097, 1.4636]",(1.2286+0j),True
2,"
tan_
    \
    sin_
        \
        cos__
             \
              -
             / \
            1   X
",tan(sin(cos((1-X)))),"[-0.4278, -0.3236, -0.2186, -0.1134, -0.0082, 0.0971, 0.2023, 0.3074, 0.4117, 0.5146, 0.6148, 0.7105, 0.8, 0.8811, 0.9521, 1.0115, 1.0583, 1.092, 1.1122, 1.1189]",(1.3709+0j),True
3,"
cos__________
             \
       _______*_
      /         \
    tan__       log__
         \           \
          *           *
         / \         / \
        X   1       X   1
",cos((tan((X*1))*log((X*1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.988, 0.9571, 0.936, 0.9266, 0.9275, 0.9369, 0.9525, 0.9717, 0.9904, 1.0]",(1.5466+0j),True
4,"
sin__________
             \
       _______**_
      /          \
    sin_         sin_
        \            \
        cos          log
           \            \
            X            X
",sin((sin(cos(X))**sin(log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8596, 0.9283, 0.9354, 0.9328, 0.9273, 0.9197, 0.9092, 0.8944, 0.8729, 0.8415]",(1.6472+0j),True
5,"
cos_
    \
    cos_______
              \
            ___+_
           /     \
          **     log
         /  \       \
        1    1       X
",cos(cos(((1**1)+log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9341, 0.7881, 0.5862, 0.5403, 0.5668, 0.6224, 0.6869, 0.7503, 0.8078, 0.8576]",(1.7041+0j),True
6,"
                ______________*__________
               /                         \
        ______+______              _______*______
       /             \            /              \
   ___/__          ___/_        cos_           ___**_
  /      \        /     \           \         /      \
sin       /     cos     cos         sin     cos      log
   \     / \       \       \           \       \        \
    X   1   X       1       X           X       X        1
",(((sin(X)/(1/X))+(cos(1)/cos(X)))*(cos(sin(X))*(cos(X)**log(1)))),"[np.float64(1.2271), np.float64(1.11), np.float64(1.0069), np.float64(0.9115), np.float64(0.8218), np.float64(0.7391), np.float64(0.6662), np.float64(0.6069), np.float64(0.5649), np.float64(0.5431), np.float64(0.5431), np.float64(0.5649), np.float64(0.6069), np.float64(0.6662), np.float64(0.7391), np.float64(0.8218), np.float64(0.9115), np.float64(1.0069), np.float64(1.11), np.float64(1.2271)]",(2.1226+0j),True
7,"
cos_
    \
    sin_
        \
        cos_
            \
            tan
               \
                X
",cos(sin(cos(tan(X)))),"[0.9999, 0.9514, 0.8735, 0.8063, 0.7564, 0.7212, 0.6971, 0.6812, 0.6715, 0.6669, 0.6669, 0.6715, 0.6812, 0.6971, 0.7212, 0.7564, 0.8063, 0.8735, 0.9514, 0.9999]",(2.2074+0j),True
8,"
cos__________
             \
       _______/______
      /              \
    tan_           ___*__
        \         /      \
        sin     tan       **
           \       \     /  \
            X       X   1    1
",cos((tan(sin(X))/(tan(X)*(1**1)))),"[0.7528, 0.7013, 0.6581, 0.6233, 0.5963, 0.5758, 0.5608, 0.5504, 0.5438, 0.5407, 0.5407, 0.5438, 0.5504, 0.5608, 0.5758, 0.5963, 0.6233, 0.6581, 0.7013, 0.7528]",(2.2279+0j),True
9,"
            ___________**______________
           /                           \
   _______**_                     ______*_
  /          \                   /        \
sin__        log_            ___*_        sin__
     \           \          /     \            \
      -          tan      log     sin           **
     / \            \        \       \         /  \
    X   X            X        X       X       1    1
",((sin((X-X))**log(tan(X)))**((log(X)*sin(X))*sin((1**1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0]",(2.2363+0j),True
