,tree,expresion,y_predict,mse,isValida
0,"
sin_
    \
    sin______
             \
           ___*__
          /      \
        sin       /
           \     / \
            X   X   X
",sin(sin((sin(X)*(X/X)))),"[0.6784, 0.6916, 0.7031, 0.7129, 0.7213, 0.7283, 0.734, 0.7385, 0.7419, 0.7441, 0.7454, 0.7456, 0.7448, 0.7429, 0.7399, 0.7359, 0.7307, 0.7242, 0.7164, 0.7071, 0.6963, 0.6838, 0.6695, 0.6532, 0.6348, 0.6141, 0.5911, 0.5655, 0.5373, 0.5063, 0.4726, 0.4361, 0.3969, 0.355, 0.3106, 0.2639, 0.2152, 0.1648, 0.113, 0.0602, 0.007, -0.0463, -0.0993, -0.1514, -0.2022, -0.2514, -0.2986, -0.3437, -0.3862, -0.4261, -0.4633, -0.4978, -0.5294, -0.5584, -0.5846, -0.6083, -0.6296, -0.6486, -0.6654, -0.6803, -0.6932, -0.7045, -0.7141, -0.7223, -0.7291, -0.7346, -0.739, -0.7422, -0.7444, -0.7455, -0.7455, -0.7446, -0.7426, -0.7395, -0.7353, -0.7299, -0.7233, -0.7153, -0.7058, -0.6948, -0.6821, -0.6675, -0.6509, -0.6322, -0.6113, -0.5879, -0.5619, -0.5334, -0.5021, -0.468, -0.4312, -0.3916, -0.3494, -0.3047, -0.2577, -0.2087, -0.1581, -0.1061, -0.0533, -0.0]",0.03,True
1,"
sin_________________
                    \
              _______*_
             /         \
       _____/_         sin_
      /       \            \
    cos_      sin          sin
        \        \            \
        138       78           X
",sin(((cos(138)/sin(78))*sin(sin(X)))),"[0.9875, 0.9923, 0.9956, 0.9977, 0.999, 0.9997, 1.0, 1.0, 0.9999, 0.9998, 0.9997, 0.9997, 0.9998, 0.9999, 1.0, 1.0, 0.9998, 0.9993, 0.9983, 0.9966, 0.9938, 0.9896, 0.9836, 0.9754, 0.9643, 0.9498, 0.9313, 0.908, 0.8793, 0.8445, 0.8031, 0.7545, 0.6984, 0.6346, 0.5633, 0.4847, 0.3994, 0.3085, 0.2128, 0.1139, 0.0132, -0.0877, -0.1872, -0.2839, -0.3762, -0.463, -0.5434, -0.6167, -0.6825, -0.7406, -0.7911, -0.8344, -0.8708, -0.9011, -0.9257, -0.9454, -0.9609, -0.9728, -0.9817, -0.9882, -0.9928, -0.9959, -0.9979, -0.9991, -0.9997, -1.0, -1.0, -0.9999, -0.9998, -0.9997, -0.9997, -0.9998, -0.9999, -1.0, -1.0, -0.9998, -0.9992, -0.9981, -0.9963, -0.9933, -0.9889, -0.9827, -0.9741, -0.9626, -0.9477, -0.9285, -0.9046, -0.8751, -0.8395, -0.7972, -0.7476, -0.6905, -0.6257, -0.5534, -0.4739, -0.3879, -0.2962, -0.2001, -0.1008, -0.0]",0.0386,True
2,"
cos_______________
                  \
             ______+_
            /        \
       ____-__       sin__
      /       \           \
    sin        /           /
       \      / \         / \
        94   X   X       X   1
",cos(((sin(94)-(X/X))+sin((X/1)))),"[0.9196, 0.9301, 0.939, 0.9466, 0.9528, 0.9579, 0.962, 0.9652, 0.9675, 0.9691, 0.9699, 0.97, 0.9695, 0.9682, 0.9662, 0.9634, 0.9596, 0.9549, 0.9492, 0.9421, 0.9338, 0.9239, 0.9124, 0.8991, 0.8838, 0.8665, 0.8469, 0.8251, 0.8008, 0.7741, 0.7448, 0.713, 0.6787, 0.6419, 0.6027, 0.5613, 0.5177, 0.4722, 0.425, 0.3763, 0.3264, 0.2756, 0.224, 0.1722, 0.1202, 0.0685, 0.0174, -0.0329, -0.0821, -0.1299, -0.1762, -0.2207, -0.2632, -0.3036, -0.3418, -0.3777, -0.4111, -0.4421, -0.4706, -0.4966, -0.5201, -0.5411, -0.5597, -0.5759, -0.5897, -0.6011, -0.6103, -0.6171, -0.6217, -0.6241, -0.6243, -0.6222, -0.6179, -0.6113, -0.6025, -0.5913, -0.5778, -0.562, -0.5437, -0.523, -0.4998, -0.4741, -0.446, -0.4153, -0.3822, -0.3466, -0.3088, -0.2686, -0.2264, -0.1821, -0.1361, -0.0884, -0.0394, 0.0108, 0.0618, 0.1135, 0.1654, 0.2173, 0.2689, 0.3198]",0.0925,True
3,"
cos________________
                   \
              ______+________
             /               \
        ____-_            ____/_
       /      \          /      \
      /_      cos       -_      cos
     /  \        \     /  \        \
    X   112       X   X   152       56
",cos((((X/112)-cos(X))+((X-152)/cos(56)))),"[-0.008, 0.1005, 0.2092, 0.3166, 0.4211, 0.5211, 0.6151, 0.7015, 0.779, 0.8464, 0.9024, 0.9464, 0.9775, 0.9953, 0.9998, 0.991, 0.9691, 0.9348, 0.8889, 0.8322, 0.7659, 0.6913, 0.6095, 0.5221, 0.4304, 0.3357, 0.2395, 0.1428, 0.047, -0.0471, -0.1383, -0.2261, -0.3096, -0.3884, -0.4622, -0.5306, -0.5934, -0.6508, -0.7026, -0.7491, -0.7905, -0.8269, -0.8587, -0.8862, -0.9097, -0.9295, -0.9461, -0.9598, -0.9709, -0.9797, -0.9865, -0.9916, -0.9953, -0.9978, -0.9993, -0.9999, -0.9999, -0.9994, -0.9985, -0.9974, -0.996, -0.9944, -0.9928, -0.9911, -0.9894, -0.9876, -0.9858, -0.984, -0.9822, -0.9803, -0.9784, -0.9763, -0.9741, -0.9717, -0.9691, -0.9662, -0.963, -0.9593, -0.9552, -0.9504, -0.945, -0.9388, -0.9317, -0.9235, -0.9141, -0.9034, -0.8911, -0.8771, -0.8611, -0.843, -0.8225, -0.7993, -0.7732, -0.744, -0.7113, -0.6751, -0.6349, -0.5908, -0.5424, -0.4896]",0.1873,True
4,"
cos________________
                   \
            ________-_
           /          \
        __+____       sin_
       /       \          \
      -        _+         sin
     / \      /  \           \
    X   X   113   X           89
",cos((((X-X)+(113+X))-sin(sin(89)))),"[0.9895, 0.9804, 0.9685, 0.9539, 0.9365, 0.9165, 0.8938, 0.8686, 0.841, 0.8109, 0.7786, 0.744, 0.7073, 0.6686, 0.6279, 0.5855, 0.5415, 0.4958, 0.4488, 0.4005, 0.3511, 0.3006, 0.2493, 0.1973, 0.1447, 0.0918, 0.0385, -0.0148, -0.0682, -0.1213, -0.1741, -0.2263, -0.278, -0.3288, -0.3787, -0.4275, -0.4752, -0.5214, -0.5662, -0.6093, -0.6508, -0.6903, -0.728, -0.7635, -0.7968, -0.8279, -0.8567, -0.883, -0.9068, -0.928, -0.9465, -0.9624, -0.9755, -0.9858, -0.9934, -0.9981, -1.0, -0.999, -0.9952, -0.9885, -0.979, -0.9668, -0.9518, -0.934, -0.9137, -0.8907, -0.8652, -0.8372, -0.8068, -0.7742, -0.7393, -0.7023, -0.6634, -0.6225, -0.5799, -0.5356, -0.4898, -0.4426, -0.3941, -0.3445, -0.294, -0.2426, -0.1905, -0.1378, -0.0848, -0.0315, 0.0218, 0.0751, 0.1282, 0.1809, 0.2331, 0.2847, 0.3354, 0.3852, 0.4338, 0.4813, 0.5273, 0.5719, 0.6149, 0.656]",0.2456,True
5,"
                  ________________*___________
                 /                            \
        ________+______                ________+_
       /               \              /          \
   ___-__             __/____       cos_         sin___
  /      \           /       \          \              \
sin       /_        +        _-         cos            _+
   \     /  \      / \      /  \           \          /  \
    X   X   159   X   X   190   X           25       10   X
",(((sin(X)-(X/159))+((X+X)/(190-X)))*(cos(cos(25))+sin((10+X)))),"[np.float64(-0.3825), np.float64(-0.3937), np.float64(-0.4011), np.float64(-0.4045), np.float64(-0.4038), np.float64(-0.399), np.float64(-0.3899), np.float64(-0.3766), np.float64(-0.3592), np.float64(-0.3379), np.float64(-0.3129), np.float64(-0.2844), np.float64(-0.2527), np.float64(-0.2183), np.float64(-0.1815), np.float64(-0.1428), np.float64(-0.1027), np.float64(-0.0617), np.float64(-0.0203), np.float64(0.0209), np.float64(0.0614), np.float64(0.1005), np.float64(0.1377), np.float64(0.1725), np.float64(0.2043), np.float64(0.2327), np.float64(0.257), np.float64(0.2769), np.float64(0.292), np.float64(0.3019), np.float64(0.3063), np.float64(0.305), np.float64(0.2977), np.float64(0.2843), np.float64(0.2647), np.float64(0.239), np.float64(0.2072), np.float64(0.1695), np.float64(0.1259), np.float64(0.0769), np.float64(0.0226), np.float64(-0.0365), np.float64(-0.1), np.float64(-0.1674), np.float64(-0.2382), np.float64(-0.3118), np.float64(-0.3876), np.float64(-0.465), np.float64(-0.5434), np.float64(-0.622), np.float64(-0.7002), np.float64(-0.7774), np.float64(-0.8528), np.float64(-0.9257), np.float64(-0.9957), np.float64(-1.0619), np.float64(-1.1239), np.float64(-1.1812), np.float64(-1.2331), np.float64(-1.2794), np.float64(-1.3195), np.float64(-1.3532), np.float64(-1.3802), np.float64(-1.4002), np.float64(-1.4133), np.float64(-1.4191), np.float64(-1.4179), np.float64(-1.4097), np.float64(-1.3945), np.float64(-1.3726), np.float64(-1.3442), np.float64(-1.3098), np.float64(-1.2696), np.float64(-1.2241), np.float64(-1.1737), np.float64(-1.1191), np.float64(-1.0608), np.float64(-0.9993), np.float64(-0.9353), np.float64(-0.8694), np.float64(-0.8023), np.float64(-0.7346), np.float64(-0.6669), np.float64(-0.5999), np.float64(-0.5341), np.float64(-0.4703), np.float64(-0.4089), np.float64(-0.3504), np.float64(-0.2953), np.float64(-0.2442), np.float64(-0.1972), np.float64(-0.1549), np.float64(-0.1174), np.float64(-0.0849), np.float64(-0.0576), np.float64(-0.0357), np.float64(-0.019), np.float64(-0.0075), np.float64(-0.0012), np.float64(0.0001)]",0.3811,True
6,"
sin_
    \
    sin_
        \
        cos__
             \
              +
             / \
            X   35
",sin(sin(cos((X+35)))),"[-0.1273, -0.0747, -0.0216, 0.0318, 0.0848, 0.1372, 0.1884, 0.2381, 0.2859, 0.3316, 0.3748, 0.4155, 0.4534, 0.4886, 0.521, 0.5507, 0.5777, 0.6021, 0.624, 0.6436, 0.661, 0.6764, 0.6899, 0.7016, 0.7116, 0.7202, 0.7274, 0.7333, 0.7379, 0.7414, 0.7439, 0.7453, 0.7456, 0.7449, 0.7432, 0.7404, 0.7365, 0.7315, 0.7252, 0.7176, 0.7086, 0.698, 0.6857, 0.6717, 0.6557, 0.6376, 0.6172, 0.5945, 0.5693, 0.5415, 0.5109, 0.4776, 0.4415, 0.4027, 0.3612, 0.3171, 0.2708, 0.2223, 0.1721, 0.1205, 0.0678, 0.0146, -0.0387, -0.0917, -0.144, -0.195, -0.2445, -0.292, -0.3374, -0.3803, -0.4206, -0.4582, -0.493, -0.5251, -0.5544, -0.581, -0.6051, -0.6267, -0.646, -0.6632, -0.6783, -0.6915, -0.703, -0.7128, -0.7212, -0.7282, -0.7339, -0.7384, -0.7418, -0.7441, -0.7454, -0.7456, -0.7448, -0.7429, -0.74, -0.736, -0.7307, -0.7243, -0.7165, -0.7073]",0.4142,True
7,"
   __________________+_
  /                    \
sin_______             sin_
          \                \
        ___*_              cos____
       /     \                    \
      -      cos_                 _*
     / \         \               /  \
    X   45       197           175   X
",(sin(((X-45)*cos(197)))+sin(cos((175*X)))),"[1.5616, 0.4923, 1.4299, 0.6218, 1.272, 0.7663, 1.0942, 0.9186, 0.9051, 1.0693, 0.7146, 1.2086, 0.5322, 1.328, 0.3655, 1.4217, 0.2191, 1.4868, 0.0946, 1.5234, -0.0091, 1.5337, -0.0944, 1.5207, -0.1638, 1.4873, -0.2193, 1.4349, -0.2614, 1.3637, -0.2888, 1.2722, -0.299, 1.1577, -0.2888, 1.0179, -0.2556, 0.8514, -0.1986, 0.6588, -0.1196, 0.4443, -0.0234, 0.2146, 0.0822, -0.021, 0.1878, -0.2522, 0.2841, -0.4698, 0.363, -0.6666, 0.4196, -0.8383, 0.4516, -0.9839, 0.4598, -1.1046, 0.4467, -1.2029, 0.4155, -1.2813, 0.3688, -1.3414, 0.3079, -1.3832, 0.2327, -1.4053, 0.1414, -1.405, 0.0313, -1.3791, -0.1, -1.3253, -0.2535, -1.2433, -0.428, -1.1355, -0.6191, -1.0076, -0.8194, -0.8678, -1.0194, -0.7258, -1.2093, -0.591, -1.38, -0.471, -1.5252, -0.3706, -1.6415, -0.2914, -1.7285, -0.2325, -1.7881, -0.1914, -1.823, -0.1652, -1.8359, -0.1517]",0.4987,True
8,"
sin_
    \
    sin________
               \
            ____/_
           /      \
          /_      sin
         /  \        \
        X   165       X
",sin(sin(((X/165)/sin(X)))),"[0.0072, 0.0073, 0.0075, 0.0077, 0.0079, 0.008, 0.0083, 0.0085, 0.0087, 0.009, 0.0093, 0.0096, 0.01, 0.0103, 0.0108, 0.0112, 0.0117, 0.0122, 0.0128, 0.0135, 0.0142, 0.0151, 0.016, 0.017, 0.0182, 0.0196, 0.0211, 0.0229, 0.0251, 0.0276, 0.0306, 0.0343, 0.039, 0.045, 0.053, 0.0642, 0.0808, 0.108, 0.1603, 0.3001, 0.3939, -0.3937, -0.1947, -0.1302, -0.0986, -0.0801, -0.0678, -0.0592, -0.0529, -0.048, -0.0442, -0.0411, -0.0386, -0.0366, -0.0349, -0.0334, -0.0323, -0.0313, -0.0304, -0.0297, -0.0292, -0.0287, -0.0284, -0.0281, -0.028, -0.0279, -0.0279, -0.028, -0.0281, -0.0284, -0.0287, -0.0291, -0.0296, -0.0302, -0.0308, -0.0316, -0.0325, -0.0336, -0.0347, -0.0361, -0.0376, -0.0393, -0.0413, -0.0436, -0.0463, -0.0493, -0.0529, -0.0572, -0.0622, -0.0684, -0.076, -0.0855, -0.0978, -0.1143, -0.1374, -0.1719, -0.2287, -0.3374, -0.6053, -0.0806]",0.5067,True
9,"
            ___________/______________
           /                          \
   _______+_                     ______-_______
  /         \                   /              \
cos__       cos_            ___/_           ____+____
     \          \          /     \         /         \
      /         sin      cos     sin     cos         _/
     / \           \        \       \       \       /  \
    X   X           85       X       X       47   147   X
",((cos((X/X))+cos(sin(85)))/((cos(X)/sin(X))-(cos(47)+(147/X)))),"[np.float64(-0.0105), np.float64(-0.0111), np.float64(-0.0116), np.float64(-0.0122), np.float64(-0.0127), np.float64(-0.0133), np.float64(-0.0138), np.float64(-0.0144), np.float64(-0.015), np.float64(-0.0155), np.float64(-0.0161), np.float64(-0.0166), np.float64(-0.0172), np.float64(-0.0177), np.float64(-0.0183), np.float64(-0.0189), np.float64(-0.0194), np.float64(-0.0199), np.float64(-0.0205), np.float64(-0.021), np.float64(-0.0216), np.float64(-0.0221), np.float64(-0.0227), np.float64(-0.0232), np.float64(-0.0237), np.float64(-0.0242), np.float64(-0.0247), np.float64(-0.0252), np.float64(-0.0257), np.float64(-0.0262), np.float64(-0.0267), np.float64(-0.0271), np.float64(-0.0275), np.float64(-0.0279), np.float64(-0.0281), np.float64(-0.0283), np.float64(-0.0283), np.float64(-0.0281), np.float64(-0.0271), np.float64(-0.0241), np.float64(-0.0081), np.float64(-0.0647), np.float64(-0.0444), np.float64(-0.0411), np.float64(-0.04), np.float64(-0.0396), np.float64(-0.0396), np.float64(-0.0398), np.float64(-0.0401), np.float64(-0.0404), np.float64(-0.0408), np.float64(-0.0412), np.float64(-0.0417), np.float64(-0.0421), np.float64(-0.0426), np.float64(-0.0431), np.float64(-0.0436), np.float64(-0.0441), np.float64(-0.0446), np.float64(-0.0451), np.float64(-0.0456), np.float64(-0.0461), np.float64(-0.0466), np.float64(-0.0471), np.float64(-0.0477), np.float64(-0.0482), np.float64(-0.0487), np.float64(-0.0492), np.float64(-0.0497), np.float64(-0.0502), np.float64(-0.0507), np.float64(-0.0512), np.float64(-0.0517), np.float64(-0.0522), np.float64(-0.0527), np.float64(-0.0531), np.float64(-0.0536), np.float64(-0.0541), np.float64(-0.0545), np.float64(-0.055), np.float64(-0.0554), np.float64(-0.0558), np.float64(-0.0562), np.float64(-0.0566), np.float64(-0.0569), np.float64(-0.0572), np.float64(-0.0575), np.float64(-0.0578), np.float64(-0.0579), np.float64(-0.0581), np.float64(-0.0581), np.float64(-0.058), np.float64(-0.0577), np.float64(-0.0572), np.float64(-0.0563), np.float64(-0.0548), np.float64(-0.0522), np.float64(-0.0474), np.float64(-0.0369), np.float64(-0.0)]",0.5121,True
